k,silhouette,calinski_harabasz,davies_bouldin
2,0.684982373062022,1386.5370151693999,0.4516641283970842
3,0.7011027379932304,2230.2246535524105,0.47221248975662555
4,0.6882951019331023,2581.979064852515,0.4899881799804295
5,0.598808194191364,2792.536830504701,0.5291765459617893
6,0.6189913601186013,3868.264344168239,0.46235980904672574
7,0.6695530988297083,5942.10427514907,0.4286272886584444
8,0.6691029650372545,7159.653649507083,0.45044301921798047
9,0.6437605053518572,7255.2024031170595,0.533717514219462
10,0.6294679274834104,7328.829380066414,0.5753115994983016
